service_id,date,exception_type
IDFM:181752,20240626,1
IDFM:181752,20240625,1
IDFM:181752,20240704,1
IDFM:181752,20240703,1
IDFM:181752,20240702,1
IDFM:181752,20240701,1
IDFM:181770,20240629,2
IDFM:181770,20240704,1
IDFM:181770,20240703,1
IDFM:181770,20240702,1
IDFM:181770,20240701,1
IDFM:181871,20240621,1
IDFM:181871,20240627,2
IDFM:181871,20240626,2
IDFM:181871,20240625,2
IDFM:181871,20240624,2
IDFM:181900,20240621,2
IDFM:181900,20240624,2
IDFM:181931,20240630,1
IDFM:181931,20240629,1
IDFM:181931,20240627,1
IDFM:181931,20240626,1
IDFM:181931,20240625,1
IDFM:181931,20240704,1
IDFM:181931,20240703,1
IDFM:181931,20240702,1
IDFM:181931,20240701,1
IDFM:182038,20240621,2
IDFM:182038,20240627,1
IDFM:182038,20240626,1
IDFM:182038,20240625,1
IDFM:182119,20240621,2
IDFM:182119,20240630,1
IDFM:182119,20240629,1
IDFM:182119,20240627,1
IDFM:182119,20240626,1
IDFM:182119,20240625,1
IDFM:182125,20240621,2
IDFM:182125,20240629,1
IDFM:182125,20240627,1
IDFM:182125,20240626,1
IDFM:182125,20240625,1
IDFM:182319,20240621,2
IDFM:182319,20240630,1
IDFM:182319,20240627,1
IDFM:182319,20240626,1
IDFM:182319,20240625,1
IDFM:182415,20240630,1
IDFM:182415,20240701,1
IDFM:182418,20240621,1
IDFM:182418,20240630,1
IDFM:182418,20240701,1
IDFM:182474,20240627,1
IDFM:182474,20240626,1
IDFM:182474,20240625,1
IDFM:182596,20240610,1
IDFM:182596,20240617,1
IDFM:182601,20240627,1
IDFM:182601,20240626,1
IDFM:182601,20240625,1
IDFM:182606,20240627,1
IDFM:182606,20240626,1
IDFM:182606,20240625,1
IDFM:182679,20240627,1
IDFM:182679,20240626,1
IDFM:182679,20240625,1
IDFM:182679,20240624,1
IDFM:182783,20240611,1
IDFM:182783,20240618,1
IDFM:182798,20240621,1
IDFM:182819,20240621,1
IDFM:182820,20240621,1
IDFM:184170,20240630,2
IDFM:184170,20240704,1
IDFM:184170,20240703,1
IDFM:184170,20240702,1
IDFM:184170,20240701,1
IDFM:184437,20240610,1
IDFM:184437,20240617,1
IDFM:184437,20240621,2
IDFM:184453,20240621,2
IDFM:184453,20240627,1
IDFM:184453,20240626,1
IDFM:184453,20240625,1
IDFM:186013,20240611,1
IDFM:186013,20240618,1
IDFM:194271,20240622,2
IDFM:194304,20240622,1
IDFM:194417,20240622,2
IDFM:194891,20240622,2
IDFM:195211,20240622,2
